dataset,model,run_id,epochs,latent_dim,train_rows,fit_seconds_total,fit_seconds_per_epoch_mean,implicit_history_visits,explicit_history_visits,cluster_history_visits,estimated_factor_touches,fit_seconds_per_million_estimated_factor_touches
ml1m,asvdpp,2026-05-06T200507Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,1019.7469194000059,50.9873459700003,4994765860,4994765860,0,1002153944000,0.0010175551625629345
ml1m,asvdpp,2026-05-06T220041Z_ml1m_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,970.134222100005,48.50671110500025,4994765860,4994765860,0,1002153944000,0.0009680490985524725
ml1m,asymmetric_svd,2026-05-06T194745Z_ml1m_asymmetric_svd_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,1017.0797498000011,50.85398749000005,4994765860,4994765860,0,1002153944000,0.0010148937255492166
ml1m,asymmetric_svd,2026-05-06T214148Z_ml1m_asymmetric_svd_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,1107.0712207000106,55.35356103500053,4994765860,4994765860,0,1002153944000,0.0011046917764762202
ml1m,biased_mf,2026-05-06T193752Z_ml1m_biased_mf_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,25,64,800193,16.146385299998656,0.6458554119999462,0,0,0,5121235200,0.0031528302586060985
ml1m,biased_mf,2026-05-06T213413Z_ml1m_biased_mf_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,25,64,800193,11.882003299990174,0.47528013199960695,0,0,0,5121235200,0.00232014403478094
ml1m,cb_asvdpp,2026-05-06T203535Z_ml1m_cb_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,1958.6260358000072,97.93130179000036,4994765860,4994765860,877047720,1395019156480,0.0014040137203148778
ml1m,cb_asvdpp,2026-05-06T223014Z_ml1m_cb_asvdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,2109.7206606999935,105.48603303499968,4994765860,4994765860,877047720,1395019156480,0.001512323792042665
ml1m,cb_svdpp,2026-05-06T202231Z_ml1m_cb_svdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,744.1473182999962,37.20736591499981,4994765860,0,877047720,755689126400,0.000984726777590426
ml1m,cb_svdpp,2026-05-06T221715Z_ml1m_cb_svdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,737.80268109998,36.890134054998995,4994765860,0,877047720,755689126400,0.0009763309479054852
ml1m,svdpp,2026-05-06T193830Z_ml1m_svdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,479.59953339999265,23.979976669999633,4994765860,0,0,502677358000,0.0009540901848218767
ml1m,svdpp,2026-05-06T211124Z_ml1m_svdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,426.52283429999807,21.326141714999903,4994765860,0,0,502677358000,0.000848502180398581
ml1m,svdpp,2026-05-06T213445Z_ml1m_svdpp_local_i5_2500k_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,401.7847877000022,20.08923938500011,4994765860,0,0,502677358000,0.0007992896065551499
